;ID;Name;Age;Overall;Position;Crossing;Finishing;HeadingAccuracy;ShortPassing;Volleys;Dribbling;Curve;FKAccuracy;LongPassing;BallControl;Acceleration;SprintSpeed;Agility;Reactions;Balance;ShotPower;Jumping;Stamina;Strength;LongShots;Aggression;Interceptions;Positioning;Vision;Penalties;Composure;Marking;StandingTackle;SlidingTackle
0;158023;L. Messi;31;94;RF;84;95;70;90;86;97;93;94;87;96;91;86;91;95;95;85;68;72;59;94;48;22;94;94;75;96;33;28;26
1;20801;Cristiano Ronaldo;33;94;ST;84;94;89;81;87;88;81;76;77;94;89;91;87;96;70;95;95;88;79;93;63;29;95;82;85;95;28;31;23
2;190871;Neymar Jr;26;92;LW;79;87;62;84;84;96;88;87;78;95;94;90;96;94;84;80;61;81;49;82;56;36;89;87;81;94;27;24;33
3;193080;De Gea;27;91;GK;17;13;21;50;13;18;21;19;51;42;57;58;60;90;43;31;67;43;64;12;38;30;12;68;40;68;15;21;13
4;192985;K. De Bruyne;27;91;RCM;93;82;55;92;82;86;85;83;91;91;78;76;79;91;77;91;63;90;75;91;76;61;87;94;79;88;68;58;51
5;183277;E. Hazard;27;91;LF;81;84;61;89;80;95;83;79;83;94;94;88;95;90;94;82;56;83;66;80;54;41;87;89;86;91;34;27;22
6;177003;L. Modri?;32;91;RCM;86;72;55;93;76;90;85;78;88;93;80;72;93;90;94;79;68;89;58;82;62;83;79;92;82;84;60;76;73
7;176580;L. Su†rez;31;91;RS;77;93;77;82;88;87;86;84;64;90;86;75;82;92;83;86;69;90;83;85;87;41;92;84;85;85;62;45;38
8;155862;Sergio Ramos;32;91;RCB;66;60;91;78;66;63;74;72;77;84;76;75;78;85;66;79;93;84;83;59;88;90;60;63;75;82;87;92;91
9;200389;J. Oblak;25;90;GK;13;11;15;29;13;12;13;14;26;16;43;60;67;86;49;22;76;41;78;12;34;19;11;70;11;70;27;12;18
10;188545;R. Lewandowski;29;90;ST;62;91;85;83;89;85;77;86;65;89;77;78;78;90;78;88;84;78;84;84;80;39;91;77;88;86;34;42;19
11;182521;T. Kroos;28;90;LCM;88;76;54;92;82;81;86;84;93;90;64;62;70;89;71;87;30;75;73;92;60;82;79;86;73;85;72;79;69
12;182493;D. God°n;32;90;CB;55;42;92;79;47;53;49;51;70;76;68;68;58;85;54;67;91;66;88;43;89;88;48;52;50;82;90;89;89
13;168542;David Silva;32;90;LCM;84;76;54;93;82;89;82;77;87;94;70;64;92;90;90;72;64;78;52;75;57;50;89;92;75;93;59;53;29
14;215914;N. KantÇ;27;89;LDM;68;65;54;86;56;79;49;49;81;80;82;78;82;93;92;71;77;96;76;69;90;92;71;79;54;85;90;91;85
15;211110;P. Dybala;24;89;LF;82;84;68;87;88;92;88;88;75;92;87;83;91;86;85;82;75;80;65;88;48;32;84;87;86;84;23;20;20
16;202126;H. Kane;24;89;ST;75;94;85;80;84;80;78;68;82;84;68;72;71;91;71;88;78;89;84;85;76;35;93;80;90;89;56;36;38
17;194765;A. Griezmann;27;89;CAM;82;90;84;83;87;88;84;78;76;90;88;85;90;90;80;80;90;83;62;82;69;35;91;83;79;87;59;47;48
18;192448;M. ter Stegen;26;89;GK;15;14;11;36;14;17;18;12;42;18;38;50;37;85;43;22;79;35;79;10;43;22;11;69;25;69;25;13;10
19;192119;T. Courtois;26;89;GK;14;14;13;33;12;13;19;20;35;23;46;52;61;84;45;36;68;38;70;17;23;15;13;44;27;66;20;18;16
20;189511;Sergio Busquets;29;89;CDM;62;67;68;89;44;80;66;68;82;88;50;52;66;87;52;61;66;86;77;54;85;87;77;87;60;90;90;86;80
21;179813;E. Cavani;31;89;LS;70;89;89;78;90;80;77;76;52;82;75;76;77;91;59;87;88;92;78;79;84;48;93;77;85;82;52;45;39
22;167495;M. Neuer;32;89;GK;15;13;25;55;11;30;14;11;59;48;54;60;51;84;35;25;77;43;80;16;29;30;12;70;47;70;17;10;11
23;153079;S. AgÅero;30;89;ST;70;93;77;81;85;89;82;73;64;89;88;80;86;90;91;88;81;76;73;83;65;24;92;83;83;90;30;20;12
24;138956;G. Chiellini;33;89;LCB;58;33;83;59;45;58;60;31;59;57;63;75;54;82;55;78;89;65;89;49;92;88;28;50;50;84;93;93;90
25;231747;K. MbappÇ;19;88;RM;77;88;77;82;78;90;77;63;73;91;96;96;92;87;83;79;75;83;71;78;62;38;88;82;70;86;34;34;32
26;209331;M. Salah;26;88;RM;78;90;59;82;73;89;83;60;72;88;94;91;91;91;88;77;68;84;70;83;63;55;90;82;61;91;38;43;41
27;200145;Casemiro;26;88;CDM;52;59;76;85;53;69;59;74;82;78;59;65;62;84;66;86;88;87;89;79;87;87;69;77;66;84;88;90;87
28;198710;J. Rodr°guez;26;88;LAM;90;83;62;89;90;85;89;86;83;90;73;67;83;85;76;86;54;70;68;92;64;55;80;89;81;87;52;41;44
29;198219;L. Insigne;27;88;LW;86;77;56;85;74;90;87;77;78;93;94;86;94;83;93;75;53;75;44;84;34;26;83;87;61;83;51;24;22
30;197781;Isco;26;88;LW;75;79;55;89;65;94;88;76;83;95;75;69;87;77;90;69;64;70;59;87;58;64;78;89;76;86;60;64;51
31;190460;C. Eriksen;26;88;CAM;88;80;52;91;77;84;86;87;88;91;75;73;79;88;81;84;50;92;58;89;46;56;83;91;67;88;59;57;22
32;189242;Coutinho;26;88;LW;79;79;48;88;75;91;91;86;83;92;89;75;92;83;93;83;59;79;61;93;59;49;84;90;70;85;55;54;47
33;188567;P. Aubameyang;29;88;LM;77;88;79;77;86;79;80;74;64;82;93;95;76;87;70;82;79;76;76;79;43;48;90;77;76;86;27;25;36
34;178603;M. Hummels;29;88;LCB;64;55;87;81;60;68;65;53;85;81;53;64;63;87;60;71;68;66;84;51;69;92;56;79;68;91;88;90;88
35;176676;Marcelo;30;88;LB;90;70;75;84;54;90;85;67;76;92;83;82;86;88;86;83;76;91;78;70;84;85;85;82;59;86;71;85;86
36;173731;G. Bale;28;88;ST;87;86;84;85;85;87;90;87;80;85;94;95;82;85;65;92;87;75;80;91;65;59;85;79;76;86;54;55;52
37;167948;H. Lloris;31;88;GK;13;10;10;50;11;10;11;10;50;34;65;62;55;85;54;23;74;41;43;14;31;27;10;30;40;65;29;10;18
38;167664;G. Higua°n;30;88;LS;68;92;80;75;90;84;74;62;59;85;73;73;75;86;69;86;79;70;85;80;50;20;92;74;70;86;35;22;18
39;164240;Thiago Silva;33;88;RCB;60;38;81;80;63;62;61;64;80;80;70;72;68;82;68;71;90;74;82;68;76;89;59;72;60;81;88;89;85
40;162835;S. Handanovi?;33;88;GK;12;10;10;36;12;12;12;14;34;16;51;55;47;83;36;22;78;41;71;19;25;22;12;41;23;69;25;10;13
41;1179;G. Buffon;40;88;GK;13;15;13;37;17;26;20;13;35;28;49;43;55;79;49;39;75;39;69;13;38;28;12;50;22;70;13;11;11
42;205600;S. Umtiti;24;87;CB;69;51;79;81;70;69;72;62;73;77;71;73;68;82;66;83;89;78;84;74;81;87;58;58;61;82;90;89;86
43;201399;M. Icardi;25;87;ST;46;91;91;73;85;77;58;45;54;81;77;78;76;88;76;84;94;72;76;70;56;22;92;64;82;85;45;24;20
44;201024;K. Koulibaly;27;87;LCB;30;19;81;66;14;66;28;28;56;60;68;75;50;80;40;55;81;71;94;15;87;88;24;43;33;78;91;88;86
45;195864;P. Pogba;25;87;RDM;80;73;73;86;85;87;84;82;90;90;71;79;74;81;64;90;83;88;89;81;78;66;81;87;81;87;66;70;68
46;193041;K. Navas;31;87;GK;11;15;11;30;11;16;11;15;37;19;54;53;60;84;61;21;74;39;75;13;32;20;16;68;25;67;28;14;14
47;192505;R. Lukaku;25;87;ST;78;87;86;77;79;80;74;66;73;72;77;90;60;86;46;88;71;84;94;74;75;27;89;76;78;83;30;30;30
48;192387;C. Immobile;28;87;ST;55;90;81;74;87;83;70;51;49;83;78;85;77;87;63;86;77;80;76;80;77;40;91;65;78;81;34;33;32
49;189332;Jordi Alba;29;87;LB;87;73;70;84;60;80;80;63;74;84;93;93;90;83;85;64;81;91;61;66;75;84;79;70;59;79;72;84;85
50;175943;D. Mertens;31;87;RF;77;86;35;82;70;91;82;79;74;89;93;85;94;88;92;80;60;75;42;81;59;36;87;83;79;81;25;40;40
